symbol,name,market,industry
2340.TW,台亞,TW,半導體業
2342.TW,茂矽,TW,半導體業
2344.TW,華邦電,TW,半導體業
2345.TW,智邦,TW,通信網路業
2347.TW,聯強,TW,電子通路業
2348.TW,海悅,TW,其他
2349.TW,錸德,TW,光電業
2351.TW,順德,TW,半導體業
2352.TW,佳世達,TW,電腦及週邊設備業
2353.TW,宏碁,TW,電腦及週邊設備業
2354.TW,鴻準,TW,其他電子業
2355.TW,敬鵬,TW,電子零組件業
2356.TW,英業達,TW,電腦及週邊設備業
2357.TW,華碩,TW,電腦及週邊設備業
2359.TW,所羅門,TW,其他電子業
2360.TW,致茂,TW,其他電子業
2362.TW,藍天,TW,電腦及週邊設備業
2363.TW,矽統,TW,半導體業
2364.TW,倫飛,TW,電腦及週邊設備業
2365.TW,昆盈,TW,電腦及週邊設備業
2367.TW,燿華,TW,電子零組件業
2368.TW,金像電,TW,電子零組件業
2369.TW,菱生,TW,半導體業
2371.TW,大同,TW,電機機械
2373.TW,震旦行,TW,其他電子業
2374.TW,佳能,TW,光電業
2375.TW,凱美,TW,電子零組件業
2376.TW,技嘉,TW,電腦及週邊設備業
2377.TW,微星,TW,電腦及週邊設備業
2379.TW,瑞昱,TW,半導體業
2380.TW,虹光,TW,電腦及週邊設備業
2382.TW,廣達,TW,電腦及週邊設備業
2383.TW,台光電,TW,電子零組件業
2385.TW,群光,TW,電子零組件業
2387.TW,精元,TW,電腦及週邊設備業
2388.TW,威盛,TW,半導體業
2390.TW,云辰,TW,其他電子業
2392.TW,正崴,TW,電子零組件業
2393.TW,億光,TW,光電業
2395.TW,研華,TW,電腦及週邊設備業
2397.TW,友通,TW,電腦及週邊設備業
2399.TW,映泰,TW,電腦及週邊設備業
2401.TW,凌陽,TW,半導體業
2402.TW,毅嘉,TW,電子零組件業
2404.TW,漢唐,TW,其他電子業
2405.TW,輔信,TW,電腦及週邊設備業
2406.TW,國碩,TW,光電業
2408.TW,南亞科,TW,半導體業
2409.TW,友達,TW,光電業
2412.TW,中華電,TW,通信網路業
2413.TW,環科,TW,電子零組件業
2414.TW,精技,TW,電子通路業
2415.TW,錩新,TW,電子零組件業
2417.TW,圓剛,TW,電腦及週邊設備業
2419.TW,仲琦,TW,通信網路業
2420.TW,新巨,TW,電子零組件業
2421.TW,建準,TW,電子零組件業
2423.TW,固緯,TW,其他電子業
2424.TW,隴華,TW,通信網路業
2425.TW,承啟,TW,電腦及週邊設備業
2426.TW,鼎元,TW,光電業
2427.TW,三商電,TW,資訊服務業
2428.TW,興勤,TW,電子零組件業
2429.TW,銘旺科,TW,光電業
2430.TW,燦坤,TW,電子通路業
2431.TW,聯昌,TW,電子零組件業
2432.TW,倚天酷碁-創,TW,電腦及週邊設備業
2433.TW,互盛電,TW,其他電子業
2434.TW,統懋,TW,半導體業
2436.TW,偉詮電,TW,半導體業
2438.TW,翔耀,TW,光電業
2439.TW,美律,TW,通信網路業
2440.TW,太空梭,TW,電子零組件業
2441.TW,超豐,TW,半導體業
2444.TW,兆勁,TW,通信網路業
2449.TW,京元電子,TW,半導體業
2450.TW,神腦,TW,通信網路業
